设计人	编号	武将姓名	武将称号	体力值	一技能	二技能	三技能	四技能	五技能	六技能	七技能	八技能	九技能	十技能	设计思路	F&Q
九万岁	#VALUE!	王平	兵谋以致用	4	白丁：锁定技，①你手牌区里的牌均视为拥有花色和点数的空白牌；②每轮开始时，你摸一张牌并弃置一张手牌，然后获得等同于弃置牌点数数量的标记，称为“飞军”。	授书：你可以将一张手牌当作基本牌或普通锦囊牌使用或打出（每种牌名在一回合内限一次），然后移除X个“飞军”标记（X为你以此法使用或打出的牌名字数）。										技能设计思路取自三国志，王平生长于戎旅，手不能书，所识不过十字，而口授作书，皆有意理，使人读史汉诸纪传，听之备知其大义，往往论说不失其指，遵履法度，言不戏谑。一技能白丁，形容不识字的人，王平认识的字不多，所以不认识手里的牌，但知道自己需要做什么，所以二技能授书通过印牌来解决，而代价则是根据印的牌名字数消耗标记，毕竟不识字总会数数的吧，铁锁连环什么的不认识总该看得出这是几个字吧。
一只焦虑的厂长	#VALUE!	王平	兵谋以致用	4	将守：锁定技，你的回合外，当有角色使用非延时锦囊牌指定你为唯一目标时，你摸一张牌并令其所有非锁定技无效至到回合结束。	飞军：一名角色的结束阶段，若你于其的回合内获得过牌，则你可以弃置所有本回合你获得的牌，并视为对其使用一张无视防具的【杀】；若此杀造成了伤害，则你获得其装备区里的一张牌。									王平是一个优秀的守将，能以3万之蜀军破10万之魏军，所以用“将守”来体现他的防御能力，让敌军无处发挥能力；同时，王平又善用兵法，故设计“飞军”来表现他的骁勇；因为历史上王平个人能力强，但做副将时总发挥不出作用，所以他与其他武将大都没什么配合，	
王样好坏	#VALUE!	王平	兵谋以致用	4	镇北:每回合限一次，其他角色出牌阶段使用第X张牌时，你可以令此牌额外结算一次或无效（X为你与其相邻的角色数+1）。										根据生平设计成一个偏防御辅助的武将，队友近就辅助敌人近就防御。	
菖蒲	#VALUE!	王平	兵谋致用	4	飞军：结束阶段结束时，你可以摸三张牌并将手牌数弃置到体力上限。若以此法弃牌数小于你的体力值，你调整本技能的发动阶段。										"【飞军】不仅代表着王平统领无当飞军时的忠勇与严整，更是他降蜀后屡建功勋的一生缩影。当年汉中之战兵败末路之时，王平弃魏投蜀如获新生。因此，其技能起始设置巧妙地选在了结束阶段，代表其效力魏国的最后生涯。通常此时手牌数不会超出体力值，可以达成调整阶段的条件。来到蜀国后，王平备受崇敬与重用，他随军北伐，镇守汉中要地，立下赫赫战功。技能的阶段数后移，恰似他在蜀汉的戎马生涯以及步步攀升的官阶。通过精准地摸牌与弃牌，调整至体力上限，展现了他严整治军、深谋远虑的兵家智慧。当他殚精竭虑于疆场奋力打拼时，手牌数始终保持低位，这让他能够在同一回合内迅速调整技能至下一阶段，从而持续建立汗马功绩。（“因降先主，拜牙门将、裨将军”）（“平特见崇显，加拜参军，统五部兼当营事”）
【飞军】在游戏中核心玩法围绕着技能的阶段调整展开，要求玩家依据当前手牌数，深思熟虑地规划下一步甚至更长远步骤的发动时机。初始的发动阶段设置为结束阶段结束时，既是为了武将形象契合，又是通过首回合的操作在提醒玩家，不但要规划阶段的后移，还要考虑下一回合阶段的前移。调整阶段的条件可以简化为手牌数不超过体力值，这一设置不仅确保了玩家在第一回合能够顺利启动，同时也让技能收益维持在一个合理的平均水准。当玩家手牌数较低时，可以通过技能补充手牌，并在接下来的阶段中进一步优化手牌质量。然而，一旦手牌数补充至体力上限，在受伤状况下或摸牌阶段后，玩家将难以再调整至后续阶段，这时需要提前规划前移阶段，才能保证下个回合的收益，这种设计使得技能的时机和收益变化达到了一种动态的平衡。"	
OKITA	#VALUE!	韦曜	秉笔直书	3	直录:出牌阶段限一次，你可以展示一张手牌并指定一名其他角色，若其下回合使用的牌与你展示的牌类型相同，则你摸一张牌；若其未使用牌或使用的牌与你展示的牌类型不同，则你弃置其一张牌。	识谏:当你因【直录】摸牌后，你可以将一张手牌当任意基本牌使用或打出；当你因【直录】弃置其他角色牌后，你摸一张牌。	秉史:锁定技，游戏开始时，你摸三张牌，然后本局游戏你的手牌上限始终为X（X为你的体力值）。								"直录设计思路:既体现了韦曜作为史学家直书实录的精神，又展示了他作为谏臣敢于直言的特点。出牌阶段，韦曜可以展示一张手牌并指定一名其他角色。若该角色下回合使用的牌与韦曜展示的牌类型相同，韦曜便能摸一张牌，这代表了他的直言得到了回应；若该角色未使用牌或使用的牌类型不同，韦曜则弃置其一张牌，这既是对其无言或不听谏言的惩罚，也体现了韦曜在坚持实录原则时的坚定和果断。
识谏设计思路:对韦曜学识渊博和善于应对的进一步体现。当韦曜因【直录】摸牌后，他可以将一张手牌当任意基本牌使用或打出，这既是对他学识的一种奖励，也增加了他在游戏中的策略性和应变能力。而当韦曜因【直录】弃置其他角色牌后，他摸一张牌，这既是对他坚持原则的补偿，也体现了他在谏言被忽视后的冷静和自持。
秉史设计思路:对韦曜坚守实录精神的一种体现。游戏开始时，他摸三张牌作为对他学识和才华的认可，但他的手牌上限始终与他的体力值相等，这代表着他在坚守真实的同时，也面临着一定的困难和挑战。"	暂时没有
画师EMm	#VALUE!	郑玄	秉古通今	3	注经：出牌阶段限一次或当你失去最后的手牌后，你可以进行一次判定并选择一名角色，你弃置其两张牌（不足则全弃），然后将判定牌和弃牌堆中与判定牌花色不同的一张牌（自上向下检索）交给该角色。若这两张牌颜色不同，你摸一张牌。若该角色为你，此技能本回合失效。	施教：准备阶段或当你受到伤害后，你可以观看牌堆顶4张牌，然后可以令所有其他角色从你选择的一名角色开始依次摸一张牌，若如此做，你可以弃置任意张牌然后摸一张牌。									"一技能用弃牌堆代表古文经，牌堆代表今文经，表达郑玄注经统一经学的成就。
二技能表现郑玄桃李满天下，各大势力都有他的学生，发牌代表着教导学生，同时这过程中自己对经学的理解也不断加深，注的经也就更好了。"	
柠檬	#VALUE!	韦曜	博见全籍	3	恕己：锁定技，当你获得牌后，若手牌数大于体力值，你弃置一张牌；当你失去牌后，若手牌数小于体力值，你摸一张牌；当你因此获得或失去牌后，若手牌数等于体力值，你回复1点体力。	奉壹：锁定技，出牌阶段开始时，你失去体力值至1点。										
天鹤守雅	#VALUE!	郑玄	博经通著	3	通经:出牌阶段，你可以观看一名其他角色的全部手牌或牌堆顶的三张牌，并可以获得其中与你手牌花色均不相同的一张牌，若你没有以此法获得牌，本阶段此技能失效	博儒:当你手牌中包含四种花色，你可以跳过弃牌阶段。									郑玄是东汉大儒，一技能是他积极获取知识之意，以花色暗指经文的类型，郑玄不断的寻找手牌中没有的经文，获取之并加以阅读学习。郑玄需要尽可能运用完自己手牌里的花色，意指需要将获取的经文加以学习理解，然后再去获得新的经文。二技能指当郑玄博览经文凑足四色，他拥有了很高的名望，可以去跳过弃牌阶段了，但实战的郑玄可能会选择不跳弃牌，来增加一技能的发动次数，表示郑玄一生不断学习治经，也暗含守节不仕之意。	
九芺	#VALUE!	郑玄	博洽之先师	3	隐业：锁定技，当你每回合首次受到伤害时，若你没有手牌，你防止之并摸一张牌。	汇流：锁定技，游戏开始时或结束阶段，你将你的所有手牌置于武将牌上称为“经”（最多十二张经）。每个准备阶段，若你“经”中一种类型的牌有四个花色，你从这种类型的“经”中获得四张牌，并根据类型获得以下效果：基本牌，你将牌堆顶的三张牌置于“经”中；锦囊牌，你视为使用一张锦囊牌；装备牌，你令一名角色装备这些牌中的任意张。	纬继：弃牌阶段开始时，你可以用一张你本回合未使用过的类型牌交换武将牌上的“经”。								"在东汉末年，天下大乱，社会秩序崩溃。在这个时代，有一位名叫郑玄的学者，他深知只有恢复道德秩序，才能拯救苍生于水火之中。
郑玄自幼饱读诗书，对儒家经典有着深厚的理解与热爱。然而，战乱频发导致许多珍贵的文献失传，为了找回这些失传的经典，重建文化的根基，郑玄决定踏上一段艰难的旅程。
他首先来到了一座荒废的图书馆。那里书籍零散、残破不堪，但郑玄不畏艰难，耐心地寻找着。终于，在一本破旧的易经注释中，他发现了一些关键的线索。
依据线索，郑玄开始了漫长的旅行。他跋山涉水，历尽千险。在一次次的探险中，他遇到了各种各样的人，有盗书贩子、有藏书家族，甚至遇到了一位隐居的老学者。每个人都给了他不同的帮助与启示。
经过无数次的挑战与努力，郑玄终于找到了那些失传的经典。他将这些经典整理出来，并加以注释解释，让更多的人能够理解其深意。
郑玄的成就受到了广泛认可。即使在漫长的岁月流转中，他收集和注释的儒家经典仍然被后世学者奉为圭臬，指引着世人。
在那个动荡的时代，郑玄用自己的智慧和毅力，为中华文化的保护与传承做出了不可磨灭的贡献。他的故事，成为了后人心中永远的灯塔，照亮着寻求知识与智慧的道路。"	
殆君尽考场	#VALUE!	郑玄	博通群经	3	治学：限定技，若你的手牌中含有基本牌、装备牌、锦囊牌，你可以将上述类型的牌各一张首尾相接置于你的武将牌旁称为「经」 ，然后你获得〖整经〗。	桃李：锁定技，摸牌阶段，你改为令至多X名角色各交给你一张牌（X为你的体力值），然后这些角色依次选择一项：1.摸一张牌；2.回复1点体力。	整经：你的回合开始时，你可调整「经」的顺序。当你使用或打出牌时，若此牌与你上一张使用或打出的牌的类型与「经」的顺序：顺时针一致，你摸一张牌；逆时针一致，此牌不计入次数。								这是一个满腹经纶的大儒，整理整理经典，出一张摸一张，出一张再出一张。教学相长，牌我就不摸了，那么这位亲爱的学子哟，你掉的是一张牌还是一点体力呢？	"Q：一般情况，若回合内已经使用过【杀】，且此【杀】计入次数，还能借〖整经〗再次使用杀吗？
A：不能"
万千纸鹤	#VALUE!	王崇	博闻广识	3	结友：一轮游戏开始，你从x张（x为场上存活角色数且至多为5）未登场的蜀势力武将牌中选择至多x个非标签技能，你令这些技能增加限定技标签，然后获得之；一轮游戏结束，你失去以此法获得的技能。	撰蜀：蜀势力角色使用其的技能时，非该技能摸牌时，你可以摸一张牌。									"结友，来源于在王崇与五位好友在晋朝为官时，其他五人互有间隙，唯独王崇与五人依旧友好，证明了王崇与人友善，那让五个蜀国好友助战也是很合理的吧？
撰蜀，王崇撰写过蜀国的史书，记录蜀国。"	
彁	#VALUE!	程普	不觉自醉	4	善交:出牌阶段，你可以将一张牌当【推心置腹】使用。若双方有角色因此获得牌的点数不小于对方，该角色视为使用一张【酒】否则其可以将一张牌当【杀】使用并失去1点体力。	扦策:每轮各限一次，当其他角色或你受到致命伤害时，你可以弃置两张牌并防止此伤害，然后你对伤害来源造成1点伤害。									"程普天性乐于施予，喜爱结交士大夫。所以一技能特意营造出结交场面并用推心置腹这张牌表示；但是程普和周瑜不和。程普曾数次侮辱周瑜，但是周瑜折节容下，始终不与程普计较；因此用失去体力表示被程普语言侮辱，使用杀则是在强度方面做了一些加强。
二技能是孙策在攻打祖郎时被围困后被救出的事迹，因此围绕孙策展开。孙策在觉醒前非常脆弱，这个技能则可以有效地进行保护。
此外，一技能也可以让孙策加速觉醒。"	"问：一技能如何知道自己获得牌的点数不小于对方？
答：需要请裁判裁定。"
菖蒲	#VALUE!	韦曜	不胜桮杓	3	长纂：摸牌阶段结束时，你可以使用任意张此阶段获得的手牌，然后若此阶段你使用牌数等于体力值，你执行一个额外的摸牌阶段。	代酒：锁定技，当你非出牌阶段造成伤害后，你将一张牌当【酒】使用或失去1点体力。									"【长纂】从韦曜投入史书编纂时间最长的史学家身份切入，描绘其孜孜不倦致力于吴书编写的场景。每进入摸牌阶段当其笔墨俱备时便能自如挥洒。若是灵感相称之际，其下笔有神，能够绵绵不绝地进行着编纂工作。屡次摸牌展现其作为一位杰出史学家通识古今，博见群籍的能力。（“韦曜笃学好古，博见群籍，有记述之才”）（“及意所经识古今行事，外吏之中少过曜者”）
【代酒】还原韦曜以茶代酒的典故。孙皓设宴饮酒无度，韦曜起初受到孙皓的特殊礼遇，得以用茶水代替酒饮下，宛如他手中的一张转化牌。然而，韦曜处事精明确切，他并不盲目迎合孙皓的旨意，因此逐渐遭其怨恨。孙皓强迫灌酒，但韦曜因酒量有限，饮不足而受罚。韦曜不服从孙皓安排的叛逆之姿，表现为非出牌阶段造成伤害；酒量不足表现为每回合限一次的使用酒；失去体力则表示韦曜实在无法再饮，只能被迫受罚，极具画面感。（“初见礼异时，常为裁减，或密赐茶荈以当酒，至于宠衰，更见逼强，辄以为罪”）
其一，【长纂】在游戏中是一个自闭环机制。当角色体力越少时，其越容易达成使用牌数这一条件，从而能够连续进入摸牌阶段。而在摸牌阶段，使用杀的次数并不受限，这为角色在濒死前提供了爆发的可能，使其能够逆转战局。
其二，【代酒】与【长纂】在游戏中彼此促进又相互牵制，共同维持着一种动态的平衡。【长纂】在摸牌阶段能够造成伤害，此时【代酒】可以通过损失体力或转化酒来增加使用牌的次数，从而更容易地触发【长纂】的发动条件。另一方面，【长纂】在体力为1情况下可以十分轻易地发动，造成伤害后【代酒】机制便要求必须增加一次使用牌的次数，或损失体力进入濒死状态需要多一次使用桃，这都将破坏【长纂】的发动条件。由于酒具备每回合限一次的规则，多次发动【长纂】势必要承受掉血的高代价。因此，【代酒】的存在既能在角色体力较高时促进【长纂】的发动机会，又能在角色体力较低时限制【长纂】的过高爆发，从而实现技能组的方差均衡。"	
羽觞醉月	#VALUE!	左思	才眄当世	3	颂赋:每回合限一次，当你的手牌置入:弃牌堆/牌堆顶/其他角色手牌区后，你可以视为使用一张基本牌或从后一个区域依次获得两张牌。	咏史:你受到伤害后可以摸一张牌，然后若“颂赋”第X个区域的牌数较当前回合开始时未增加，你获得其中一张牌或将一张牌置入后一个区域（X为你的体力值）。									"〖颂赋〗取典于左思写《三都赋》，技能效果杂糅魏蜀吴三位君主技能，界曹操与神曹操以受到伤害的代价获得牌堆牌或其他角色手牌；标界刘备与神刘备分别交给其他角色手牌印基本牌和以体力值或体力上限的代价摸牌；标界孙权和神孙权通过弃牌而摸牌（神孙权多了中间产物技能），总结知三位君主技能绕过处理区建立其手牌与三个区域的联系，归纳为:通过支付代价让三个区域的牌往手牌输入，或者通过手牌往三个区域输出来产生收益。三个区域分别代表魏蜀吴三国都城（弃牌堆-吴都，牌堆顶-魏都，其他角色手牌区-蜀都），体现左思在考察三个都城的人文历史后融入自己巧思而做《三都赋》，且技能可以与左棻配合，即两人合作写赋。
〖咏史〗则取自左思作咏史诗，一方面技能需要关注一个区域的牌数与当前回合开始时牌数相比的变化，即左思考察当地历史并吟咏成诗，另一方面左思作咏史诗以抒怀才不遇之情，体现在技能受到伤害后发动（左思受挫），技能受体力值限制难以最大程度发挥，即左思终究由于样貌不佳受人诟病（体力值这个先天条件），同时也是左思人生的反映，体力值为:3时由于要受到伤害，一般不会发动（除非4上限，此时其他角色手牌区牌数计算的是所有其他角色的总和），对应左思早期未成名时；2时具有稳定收益，可以看成左思人生的巅峰时期，即写成《三都赋》名震天下时；1时对应左思后期困顿之时，只有待时局形势改天换日才有发挥（当前回合洗牌）。牌数未增加即左思已经对该地区的历史考察完毕，没有可以增加的，此时左思可以选择带着收获离开（获得该区域内一张牌）或者进入下个地区考察（将一张牌置入后一个区域）。"	"Q:何为置入牌堆顶？
A:为了技能的连贯性和象征意义，将牌堆顶这一原本属于牌堆这一区域的具体位置考虑成一个区域，该区域里只有一张牌（出于二技能考虑，牌堆顶牌数一定不会减少），“置入牌堆顶”即将一张牌置于牌堆顶。

Q:什么操作可以将手牌置入三个区域？
A:指的是没有经过处理区直接置入三个区域的操作，根据规则集，弃置，重铸，交给，获得，得到，置于都不经过处理区，反之经过处理区而置入三个区域的操作则不行，如使用，打出，拼点，交换，亮出，观看和展示则以后续操作为据，如:观看并弃置（神吕蒙）则不经过，观看并使用（族钟琰）则经过。"
左小白	#VALUE!	韦曜	苍史孰衍	3	撰古：每轮限一次，一名角色的回合结束时，你可以将其本回合因使用进入弃牌堆的牌依次置于武将牌上（替换原牌）。一名角色于出牌阶段可以经你同意后弃置一张牌并使用置顶的“撰古”牌。	枯墨：当你失去一个区域内或武将牌上最后的牌时，若之为黑色，你回复1点体力，且体力值唯一最高的角色可以改为令你与其各摸一张牌。，									一技能记录历史，以史鉴今，二技能撰毕史书，笔墨已枯，却受困于君主   一技能跟高过牌的孙皓有小联动，二技能也与孙皓体力值高的特点有契合	无
八旗	#VALUE!	程普	常青纵沙	4	醇醪：出牌阶段开始时，你可结束回合并依次使用所有有合法目标的手牌，然后你令其余手牌明置且均视为【酒】，直到你的下个回合结束时。	纵沙：当基本牌被使用且结算后，若你以此牌脱离濒死状态，你可将之对应实体牌当【决斗】使用，反之你本回合下张牌无次数与距离限制。									"这个应该是我做的最好的自联动之一了……看起来很强吗？实际上不能用出去的牌很少，作为一个摸牌白只能攒着。
考虑使用者对时机的把握，选择一次性甩出去还是来一发大的暴击。
一技能可以触发二技能的无次数限制，二技能的当决斗将自己送入濒死可以配合一技能的视为酒，然后再触发二技能……

已实操，强度真的不高。"	"发动一技能，酒会变回去吗？
回合已经结束，变回原先的牌。
有合法目标是什么意思？
能用出去的牌。
依次使用是指？
按照使用者的意愿依次使用这些牌。
当基本牌被使用且结算后是？
一张基本牌产生的结算完全结束。
如果是虚拟牌还能转换吗？
没有对应实体牌，不能。"
佾章	#VALUE!	石苞	乘步青云	4	擢升：锁定技，你于回合外使用的牌无距离限制，不可被响应，目标上限+1。〖乘势〗已发动的时机出现后，你将一项效果移至回合内。	乘势：每个时机限一次，你可于以下时机使用一张牌：一名角色执行奖惩后；字母牌出现的回合结束后；你手牌变为全场最多或最少后。									石苞效力司马氏，善于借势擢升，如平定寿春叛乱，恸哭司马昭，劝曹奂禅让。石苞出身卑微，总体上采用越升越进步的形象。	
鲲鲲	#VALUE!	程普	持重立标	4	"险赴：你指定【杀】或【决斗】的唯一目标后，可取消之。
你或其依次可失去1点体力，弃置自己上和下家任意名连续角色各一张牌，依次重新使用其中的【杀】和【决斗】。
期间若你醉酒，你不解除且【决斗】伤害也+1。"	饮烈：限定技，阶段技，你可横置，视为使用【酒】和火【杀】。	"*醉酒：受到【酒】以①方式使用的延时效果影响的状态。
*阶段技：出牌阶段限一次。"									
长相思	#VALUE!	吴-程普	瘁尽完臣	4	追讨：每轮限两次，每回合结束时，你可以视为对本回合内弃置过牌或受到过伤害的一名角色使用一张基本牌。	殚忠：当你令体力值不小于你的一名其他角色回复体力/对体力值不大于你的一名其他角色造成伤害时，你可以弃置一张牌令本次回复值/伤害值+1。									"一技能配合孙坚（可能可以配合孙策），体现程普追随臣主讨伐乱贼，而且可奶可攻，还保留了印火【杀】的特点。二技能则体现程普的忠臣形象，讨贼则乘胜追击，对臣主的保护则贯彻到底。一二技能可以产生联动，使收益最大化，对友方保核辅助作用很强，对敌方也有进攻性，令自己加强某方面的同时选用弃牌，表示他身为老臣做出的牺牲。加伤同时是对原版饮酒的致敬，但不再通过【酒】的方式来体现；二技能弃牌后，可以对自己发动一技能，可以做到印【酒】。且对方弃置牌和受伤就去打输出，队友弃置牌或受伤了就辅助，非常灵活。（可能还有骚话但我想不到了）
补充：二技能血量越低辅助效果越强，血量越高打架越强。"	"Q：一技能能用【桃】【酒】吗？
A：可以。但请别人喝酒没必要。"
VixiMazZ	#VALUE!	韦曜	存往简切	3	弈论：出牌阶段，你可以选择一名有手牌的其他角色，与其同时弃置任意张手牌。若你们以此法弃置的总牌数大于3，弃牌较多者失去1多体力，否则弃牌较少者失去1点体力。	洗马：当你的牌因弃置而进入弃牌堆后，你可以摸一张牌，若此牌点数大于你本次弃置的所有牌的点数之和，你可以展示之，然后令一名角色获得你本次弃置的所有牌。									"韦曜字弘嗣，吴郡云阳人也。少好学，能属文，从丞相掾，除西安令，还为尚书郎，迁太子中庶子。时蔡颖亦在东宫，性好博弈，太子和以为无益，命曜论之。
洗马读作xiǎn mǎ，意为太子的属官，负责太子出行时的前导和文书图籍工作。"	
